West Virginia,,"Yes, prevention resource of￘cers, who are certi￘ed","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","Yes, if the person has the express written permission of",W. Va. Code Ann. §
,,"police of￘cers acting in his or her of￘cial capacity,",authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,"the county school superintendent, he or she may possess",61-7-14
,,may possess weapons in school. ,weapons in schools. ,weapons in schools. ,weapons in school. ,
,,,,,,W. Va. Code Ann. §
,,,,,,61-7-11a 
Wisconsin,,"No, school security personnel are not explicitly","No, other school employees are not explicitly","No, concealed carry permit holders are not explicitly","No, districts or schools or school boards are not",Wis. Stat. Ann. §
,,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,authorized in state statute or regulation to possess,explicitly authorized in state statute or regulation to,948.605
,,weapons in schools. ,weapons in schools. ,weapons in schools. ,permit weapons in schools. ,
Wyoming,,The law is silent as to whether school security,"Yes, the board of trustees in each school district may","Yes, the board of trustees in each school district may adopt","Yes, the board of trustees in each school district may",Wyo. Stat. Ann. § 21-
,,personnel speci￘cally may possess weapons. See,"adopt rules and regulations, in consultation with local","rules and regulations, in consultation with local law","adopt rules and regulations, in consultation with local",3-132 
,,States That Give Districts or Schools or School,"law enforcement, to allow possession of ￘rearms by","enforcement, to allow possession of ￘rearms by employees","law enforcement, to allow possession of ￘rearms by",
,,Boards Authority to Decide Whether They Will Allow,employees possessing a valid concealed carry permit,possessing a valid concealed carry permit on or in any,employees possessing a valid concealed carry permit on,
,,Weapons in Their Schools. ,on or in any property or facility owned or leased by,property or facility owned or leased by the school district. ,or in any property or facility owned or leased by the,
,,,the school district. ,,school district. ,
,,,,,,Page 4 of 4
